"Date",Gross $,Customers
20120619,934.73,110
20120620,791.88,111
20120621,836.48,97
20120622,991.53,112
20120623,705.75,83
20120624,843.84,115
20120625,867.99,113
20120626,947.68,114
20120627,918.59,117
20120628,872.85,108
20120629,770.67,87
20120630,883.52,110
20120701,853.80,98
20120702,903.15,116
20120703,827.11,105
20120704,818.43,88
20120705,793.49,94
20120706,655.81,79
20120707,664.81,71
20120708,885.69,104
20120709,944.16,105
20120710,977.69,91
20120711,733.47,89
20120712,944.35,110
20120713,642.79,80
20120714,604.46,69
20120715,616.74,80
20120716,909.06,99
20120717,854.50,110
20120718,666.47,96
20120719,861.60,113
20120720,693.33,82
20120721,589.45,81
20120722,844.29,104
20120723,995.00,113
20120724,913.04,119
20120725,786.25,112
20120726,844.76,96
20120727,704.10,83
20120728,651.14,80
20120729,721.42,99
20120730,1066.20,111
20120731,884.91,124
20120801,781.54,104
20120802,786.59,113
20120803,730.62,87
20120804,614.74,83
20120805,1009.95,96
20120806,852.12,110
20120807,769.80,115
20120808,626.12,93
20120809,790.02,103
20120810,752.84,94
20120811,567.57,76
20120812,1055.15,101
20120813,795.96,94
20120814,839.60,108
20120815,838.06,109
20120816,806.12,97
20120817,637.08,99
20120818,672.22,91
20120819,868.28,116
20120820,879.64,101
20120821,980.52,125
20120822,776.20,118
20120823,890.17,105
20120824,710.74,93
20120825,622.64,75
20120826,514.38,69
20120827,776.89,105
20120828,994.39,122
20120829,785.45,105
20120830,829.79,96
20120831,718.13,97
20120901,536.52,72
20120902,725.16,87
20120903,800.01,101
20120904,918.54,117
20120905,1022.11,132
20120906,899.98,106
20120907,554.85,67
20120908,615.78,90
20120909,736.42,92
20120910,982.31,106
20120911,895.12,117
20120912,909.26,117
20120913,934.86,102
20120914,990.14,115
20120915,583.69,85
20120916,795.36,106
20120917,844.46,111
20120918,920.50,107
20120919,875.01,101
20120920,865.51,104
20120921,689.94,102
20120922,889.74,96
20120923,1027.23,105
20120924,937.37,112
20120925,1060.00,124
20120926,1015.26,113
20120927,756.93,99
20120928,951.53,99
20120929,534.50,71
20120930,1076.07,114
20121001,1016.10,120
20121002,1242.39,136
20121003,1137.56,122
20121004,755.79,108
20121005,709.51,107
20121006,973.53,97
