"Date",Gross $,Customers
20110802,156.69,28
20110803,194.28,26
20110804,187.18,26
20110805,249.58,31
20110806,148.52,32
20110807,170.17,27
20110808,157.91,25
20110809,250.58,34
20110810,173.74,25
20110811,149.43,24
20110812,128.75,24
20110813,221.80,38
20110814,178.51,28
20110815,112.36,17
20110816,171.08,28
20110817,127.78,18
20110818,216.29,24
20110819,195.59,32
20110820,159.72,30
20110821,165.49,27
20110822,135.59,25
20110823,198.18,34
20110824,158.51,21
20110825,188.09,30
20110826,85.53,23
20110827,267.63,40
20110828,167.57,22
20110829,96.04,17
20110830,118.59,18
20110831,157.95,21
20110901,150.39,24
20110902,177.66,30
20110903,257.66,25
20110904,153.16,24
20110905,97.73,14
20110906,130.34,21
20110907,141.63,18
20110908,256.76,33
20110909,191.50,24
20110910,175.73,21
20110911,198.67,24
20110912,233.39,33
20110913,193.12,25
20110914,112.29,18
20110915,130.53,18
20110916,256.15,33
20110917,213.84,32
20110918,108.80,24
20110919,195.00,23
20110920,114.72,29
20110921,176.52,31
20110922,279.03,40
20110923,140.31,17
20110924,256.12,39
20110925,132.85,12
20110926,303.57,35
20110927,195.07,27
20110928,184.78,21
20110929,173.23,26
20110930,192.25,32
20111001,205.20,44
20111002,124.79,17
20111003,235.78,30
20111004,211.45,21
20111005,188.85,31
20111006,284.98,36
20111007,247.62,40
20111008,225.01,32
20111009,252.17,37
20111010,216.74,27
20111011,337.23,40
20111012,203.34,24
20111013,307.31,32
20111014,218.73,37
20111015,339.83,45
20111016,226.75,30
20111017,203.29,26
20111018,215.67,24
20111019,206.95,22
20111020,248.33,33
20111021,192.74,32
20111022,218.30,31
20111023,133.10,17
20111024,287.26,27
20111025,257.03,29
20111026,127.18,25
20111027,268.08,35
20111028,187.18,31
20111029,336.64,52
20111030,147.69,20
20111031,331.84,38
20111101,267.42,36
20111102,362.94,37
20111103,213.00,28
20111104,306.25,38
20111105,254.32,44
20111106,201.41,22
20111107,145.83,23
20111108,97.06,12
20111109,235.93,33
20111110,250.57,30
20111111,305.21,34
20111112,250.02,39
20111113,297.82,45
20111114,231.33,36
20111115,221.53,27
20111116,206.50,31
20111117,175.73,28
20111118,194.86,24
20111119,209.16,38
20111120,194.85,24
20111121,233.34,30
20111122,281.58,39
20111123,230.16,33
20111124,0.00,0
20111125,245.80,31
20111126,239.50,26
20111127,201.08,27
20111128,185.12,23
20111129,264.49,36
20111130,225.21,31
20111201,207.74,28
20111202,356.29,39
20111203,337.37,52
20111204,197.63,20
20111205,222.28,33
20111206,308.41,38
20111207,317.29,38
20111208,361.00,45
20111209,364.88,47
20111210,189.47,25
20111211,130.20,12
20111212,174.65,27
20111213,159.96,21
20111214,196.41,28
20111215,115.31,12
20111216,81.38,13
20111217,158.74,20
20111218,160.00,21
20111219,112.65,20
20111220,142.00,14
20111221,75.12,15
20111222,199.01,21
20111223,51.95,8
20111224,0.00,0
20111225,0.00,0
20111226,58.24,9
20111227,84.80,12
20111228,77.55,12
20111229,86.86,12
20111230,38.73,10
20111231,2.25,1
20120101,114.59,17
20120102,120.04,16
20120103,253.64,28
20120104,230.33,30
20120105,137.54,19
20120106,268.15,41
20120107,230.77,33
20120108,117.32,15
20120109,144.44,24
20120110,163.94,20
20120111,273.41,37
20120112,139.99,27
20120113,262.15,41
20120114,195.25,33
20120115,247.91,26
20120116,257.34,31
20120117,234.53,24
20120118,167.99,27
20120119,319.12,33
20120120,267.29,31
20120121,373.91,41
20120122,167.79,19
20120123,138.93,23
20120124,303.57,33
20120125,275.96,35
20120126,216.06,27
20120127,219.05,35
20120128,355.20,49
20120129,112.27,18
20120130,207.29,31
20120131,306.79,39
20120201,214.59,32
20120202,356.95,35
20120203,296.51,35
20120204,290.67,33
20120205,141.35,25
20120206,247.11,29
20120207,225.84,34
20120208,235.07,30
20120209,311.43,38
20120210,231.59,31
20120211,267.90,29
20120212,198.21,28
20120213,225.03,29
20120214,104.89,17
20120215,240.90,30
20120216,369.36,46
20120217,385.10,56
20120218,504.19,48
20120219,140.42,23
20120220,351.69,42
20120221,289.57,31
